epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
119,300.469,2.97777,1.85898,1.76648,0.29275,0.37726,0.29179,0.1067,3.11418,2.48286,2.0361,0.000519875,0.000519875,0.000519875
120,302.014,3.00965,1.87449,1.744,0.30626,0.33829,0.26952,0.11077,2.97396,2.38345,1.97354,0.000513688,0.000513688,0.000513688
121,303.477,2.96489,1.92862,1.77927,0.30632,0.35927,0.27783,0.10687,2.87483,2.46221,1.91762,0.0005075,0.0005075,0.0005075
122,305.066,2.91039,1.7624,1.70618,0.33037,0.38142,0.29048,0.11708,2.87111,2.50457,1.92212,0.000501313,0.000501313,0.000501313
123,306.545,2.95604,1.82496,1.72518,0.33535,0.48358,0.34257,0.12697,2.83033,2.42479,1.9171,0.000495125,0.000495125,0.000495125
124,308.092,2.86165,1.80223,1.71935,0.34465,0.45697,0.34752,0.12108,2.91876,2.35636,1.95579,0.000488938,0.000488938,0.000488938
125,309.511,2.94013,1.8291,1.72761,0.36462,0.43669,0.32636,0.11998,2.89418,2.40189,1.93165,0.00048275,0.00048275,0.00048275
126,311.02,2.87889,1.80152,1.6764,0.31777,0.41994,0.26539,0.10164,2.79782,2.59289,1.87553,0.000476562,0.000476562,0.000476562
127,315.783,2.88717,1.82184,1.73661,0.30021,0.4193,0.29156,0.10782,2.80072,2.53387,1.87355,0.000470375,0.000470375,0.000470375
128,317.45,2.94649,1.77994,1.69062,0.27217,0.3867,0.24489,0.09493,2.81684,2.58665,1.89733,0.000464188,0.000464188,0.000464188
129,318.982,2.90779,1.8449,1.7445,0.31292,0.41044,0.28502,0.0976,2.88583,2.55792,1.92322,0.000458,0.000458,0.000458
130,320.472,2.90353,1.75793,1.69886,0.3154,0.40482,0.30468,0.12278,2.87829,2.49673,1.94494,0.000451813,0.000451813,0.000451813
